Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (mg)","Kwas omega 6 (mg)","Węglowodany (g)","Cukry (g)","Cholesterol (g)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2023-01-14,Lunch,"Ferrero Rocher Chrupiący wafelek z kremowym nadzieniem i orzechem laskowym w czekoladzie 75 g","1x sztuka",13,78.39,1.066,,,5.551,1.833,0,0,,,5.772,5.187,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-01-14,Obiad,"Piwo Namysłów Pils","2x opakowanie",1000,440,3,,,1,1,,,,,31,17,,,,,,,,,,,,,,,,,,,,,,,,84,,,0.2
2023-01-14,Obiad,"Kiełbasa krakowska sucha","5x plaster",25,80.75,6.4,0,6.4,6.2,2.1,3.225,0.425,,,0,,20.5,0,,0.75,0.5,0.2,0.075,,0.175,,0.225,0,0.2,0.175,2.05,,0.85,68.75,0,8.25,0.025,107.25,,318.25,2,0.525,
2023-01-14,Obiad,"Ser  Ementaler pełnotłusty","2x plaster",40,152.4,11.28,0,11.28,11.88,7.096,3.78,0.328,0.168,0.16,0.04,0.04,33.2,0,,8,118.8,0.012,0.152,,0.02,,0.88,0,0.1,0.16,0.036,,1.76,166.4,16,15.6,0.016,47.6,,363.68,334,0.2,0.908
2023-01-14,Obiad,"Słone krakersy","50x g",50,228,3.75,,,6.85,,,,,,37.85,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-01-14,Obiad,"Oliwki zielone","35x g",35,46.9,0.56,,,4.655,0.665,,,,,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
2023-01-14,Obiad,"Familijne Wafelki mleczne 125 g","50x g",50,255,4.5,,,13.5,6.5,0,0,,,28,13,0,0,,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2023-01-14,Przekąska,Ziemniaki,"300x g",300,261,5.7,5.7,0,0.3,0.03,0,0.18,0.03,0.15,61.5,0.9,,4.8,,45,3,0.3,0.12,,0.99,,,33,0,0.15,4.2,,1.05,183,9,69,0.42,1473,,24,12,1.8,0.06
2023-01-14,Przekąska,"Dominik Kapusta kiszona z marchewką 1 kg","250x g",250,62.5,2.25,,,0.25,0.075,,,,,9.25,3.75,,6.5,,,,,,,,,,,,,,,,,,,,,,1100,,,2.75
2023-01-14,Przekąska,"Schab w sosie własnym ","1x porcja",345,394.6,61.59,1.49,0,13.19,4.62,0.03,0.15,0.01,0.14,9.69,3.54,0,1.25,,14.03,1.33,0.03,0.02,,0.07,,0,4,0,0.1,0.18,0.28,0.19,12.68,1.3,5.83,0.04,86.17,,10.77,17.57,0.39,0.15
2023-01-15,Śniadanie,"Jajo świeże","2x sztuka",112,155.68,14,,,10.864,,,,,,0.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15,Śniadanie,"Chleb pszenny","130x g",130,340.6,12.09,12.09,0,1.82,0.39,0.26,1.144,0.052,1.092,70.59,0.65,0,3.51,,39.91,,0.26,0.091,,0.143,,0,0,0,0.728,2.236,,1.43,130,,39,0.156,178.1,,589.16,20.8,1.69,1.469
2023-01-15,Śniadanie,Olej,"1x łyżka",10,88.4,0,,,10,0.67,6.3,2.58,,,0,0,0,0,,,,,,,,,,,,2.67,,,,,,,,,,,,,
2023-01-15,Śniadanie,"Mleko spożywcze 2% tłuszczu","250x g",250,127.5,8.5,0,8.5,5,3,1.5,0.25,,,12.25,,20,0,,12.5,62.5,0,0.5,,0.25,,1,2.5,0,0.25,0.25,,0.75,215,,30,0,352.5,,112.5,300,0.25,
2023-01-15,Obiad,"Frupp Truskawkowy Baton Liofilizowany","1x opakowanie",10,33.4,0.21,,,0.11,0.01,,,0,0,6.3,4.1,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,0.002
2023-01-15,Przekąska,Ziemniaki,"300x g",300,261,5.7,5.7,0,0.3,0.03,0,0.18,0.03,0.15,61.5,0.9,,4.8,,45,3,0.3,0.12,,0.99,,,33,0,0.15,4.2,,1.05,183,9,69,0.42,1473,,24,12,1.8,0.06
2023-01-15,Przekąska,"Schab w sosie własnym ","1x porcja",345,394.6,61.59,1.49,0,13.19,4.62,0.03,0.15,0.01,0.14,9.69,3.54,0,1.25,,14.03,1.33,0.03,0.02,,0.07,,0,4,0,0.1,0.18,0.28,0.19,12.68,1.3,5.83,0.04,86.17,,10.77,17.57,0.39,0.15
2023-01-15,Przekąska,"Rolnik Premium Buraczki zasmażane z cebulą 540 g","150x g",150,129,1.95,,,2.85,1.05,0,0,,,22.5,18,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185
